P48347	AT1G22300
P0CJ47	AT2G37620
P0CJ47	AT3G53750
P53494	AT5G59370
Q8RYC2	AT2G42100
P53492	AT5G09810
Q96293	AT1G49240
P93738	AT2G42090
Q9LQ81	AT1G01750
Q9LZT3	AT3G45990
Q8LFH6	AT5G52360
Q39250	AT3G46010
Q39251	AT3G46000
Q9ZSK4	AT5G59880
Q9ZSK3	AT5G59890
Q9ZNT3	AT2G16700
Q9ZSK2	AT2G31200
Q67ZM4	AT4G25590
Q570Y6	AT4G00680
O49606	AT4G34970
P06525	AT1G77120
Q9SK86	AT1G22430
Q9SK87	AT1G22440
A1L4Y2	AT1G32780
Q8VZ49	AT1G64710
Q0V7W6	AT4G22110
Q8LEB2	AT5G24760
Q9FH04	AT5G42250
Q96533	AT5G43940
Q9SF85	AT3G09820
Q9LZG0	AT5G03300
O22161	AT2G44900
Q9M224	AT3G60350
Q94BT6	AT5G57360
Q8W420	AT2G18915
Q9C9W9	AT1G68050
O23147	AT3G57510
Q8RY29	AT2G41850
Q9FW44	AT1G33560
O65797	AT1G06080
Q9SID2	AT2G31360
Q9LVZ3	AT3G15870
Q949X0	AT3G15850
Q9LND9	AT1G06090
Q9LND8	AT1G06100
Q9FPD5	AT1G06120
Q9LMI4	AT1G06350
Q9LMI3	AT1G06360
P31167	AT3G08580
P40941	AT5G13490
Q9LPK7	AT1G21530
Q84P17	AT1G55320
F4K1G2	AT5G35930
Q9SFW5	AT1G76290
Q9C9G2	AT1G68270
Q8VZF1	AT3G16910
Q9LPK6	AT1G21540
Q9LW29	AT3G26810
Q9LPW7	AT1G12820
P51566	AT3G53570
P51567	AT4G24740
P51568	AT4G32660
Q9LQ98	AT1G69260
Q9LMX5	AT1G13740
Q94F39	AT3G29575
Q9S7Z2	AT3G02140
Q8LAW2	AT2G24540
A4FVP2	AT4G16740
Q9FNP9	AT5G61160
O82171	AT2G35210
Q8L7A4	AT3G07940
Q9FVJ3	AT4G21160
Q8LFN9	AT4G05330
Q8RXE7	AT1G08680
Q0WQQ1	AT3G17660
Q9FIT8	AT5G61980
Q9C6C3	AT1G60860
Q5W7F2	AT5G13300
Q9SMX5	AT1G10870
Q9FL69	AT5G54310
Q9M354	AT3G53710
O80925	AT2G37550
Q8H100	AT4G17890
Q9FIQ0	AT5G46750
Q38836	AT4G09960
Q38841	AT1G71692
Q38837	AT3G61120
Q38838	AT4G11880
Q38847	AT5G13790
A2RVQ5	AT3G57230
Q38840	AT2G22630
Q9M2K8	AT3G57390
O82743	AT4G22950
P29381	AT3G58780
Q9SZJ6	AT4G37940
O82794	AT4G24540
Q9AT76	AT1G77080
Q9FPN7	AT5G65050
Q7XJK6	AT5G26650
P29383	AT2G03710
P29385	AT2G42830
Q4PSU4	AT2G24840
Q9FKK2	AT5G60440
P29386	AT2G45650
Q9FJK3	AT5G48670
Q9C6V3	AT1G31630
Q38876	AT5G60910
Q7XJK5	AT5G27960
Q9C6V4	AT1G31640
Q7X9H9	AT5G26950
Q9C633	AT1G46408
P57750	AT5G18070
Q9XGW1	AT5G43810
O04379	AT1G48410
Q9SHF3	AT1G31280
Q9SHF2	AT1G31290
Q9ZVD5	AT2G27040
Q9SJK3	AT2G27880
O48771	AT2G32940
Q9C793	AT1G69440
Q3E984	AT5G21030
Q84VQ0	AT5G21150
Q9M0S4	AT4G09030
Q9FVE0	AT3G01700
Q9LJD9	AT3G13520
Q9STQ3	AT4G26320
Q9LVC0	AT5G56540
Q9LYF6	AT5G11740
O82337	AT2G46330
O22194	AT2G23130
Q9FPR2	AT4G37450
Q8LCN5	AT5G64310
Q9M373	AT3G61640
Q9C8A4	AT1G55330
Q9FK16	AT5G53250
Q8S2W4	AT3G57690
Q5PP12	AT5G40730
Q6NN00	AT5G18690
Q94F57	AT2G47930
Q9SQT9	AT3G06360
Q9SJY7	AT2G22470
Q9ZT17	AT4G40090
Q9ZT16	AT5G10430
Q8LCE4	AT1G35230
Q9LY91	AT5G14380
Q8LG54	AT5G65390
Q9C5S0	AT2G14890
Q940M2	AT4G39660
Q94AL9	AT2G38400
Q9SR86	AT3G08860
Q8GWW7	AT5G08170
Q8VYF5	AT2G27450
Q9SXL4	AT2G17820
Q9C5U2	AT5G35750
Q9C5U1	AT1G27320
Q9C5U0	AT2G01830
Q3S4A7	AT5G10720
Q9ZNV9	AT3G21510
Q9ZNV8	AT3G29350
Q9SAZ5	AT5G39340
Q9LU15	AT3G16360
Q8L9T7	AT1G03430
Q9SSC9	AT1G80100
Q8RYD6	AT3G44460
Q9LES3	AT3G56850
Q9C5Q2	AT2G41070
Q9M7Q5	AT1G49720
Q9M7Q4	AT1G45249
Q9M7Q3	AT4G34000
Q9M7Q2	AT3G19290
Q9FMM7	AT5G42910
Q9ZPY8	AT2G46510
P54120	AT1G33960
Q9FIX2	AT5G39720
P54121	AT3G28930
Q1PFE1	AT1G72570
Q6PQQ3	AT5G57390
Q52QU2	AT5G10510
Q6J9N8	AT5G65510
Q9ZPI6	AT4G29010
Q8RXD3	AT5G20910
Q94BT2	AT3G07390
Q9LYU8	AT5G13280
O23653	AT5G14060
Q9S702	AT3G02020
Q9SA18	AT1G31230
O81852	AT4G19710
Q9C5B9	AT1G10810
Q9SAR5	AT4G35450
F4HPY8	AT1G60750
O80944	AT2G37760
Q0PGJ6	AT2G37770
Q84TF0	AT2G37790
Q9M338	AT3G53880
Q05753	AT5G66055
Q38998	AT2G26650
Q38898	AT4G22200
Q9SCX5	AT4G32500
Q8GXE6	AT2G25600
Q8VZC3	AT5G62530
Q0WSF1	AT3G66658
Q9SU63	AT3G48000
Q8S528	AT1G23800
Q56YU0	AT3G24503
Q70E96	AT4G36250
Q70DU8	AT1G44170
Q8W033	AT4G34240
Q9SYG7	AT1G54100
Q9LI83	AT3G25610
Q9SAF5	AT1G13210
P57792	AT1G26130
P98204	AT5G04930
P98205	AT5G44240
Q9XIE6	AT1G59820
Q9LNQ4	AT1G17500
Q9SGG3	AT1G72700
Q9SLK6	AT1G54280
Q9LK90	AT3G27870
Q9SX33	AT1G68710
F4I7I0	AT1G17290
Q9LDV4	AT1G72330
Q9FYL3	AT1G24490
Q8L718	AT1G65080
Q0WUC5	AT3G44370
Q8LBP4	AT2G28800
Q9FHA2	AT5G67110
Q9ZQI7	AT2G13810
Q7G193	AT5G20960
Q7G192	AT3G43600
Q7G9P4	AT2G27150
Q7G191	AT1G04580
Q8RWW0	AT2G20300
Q8RWQ9	AT3G45310
Q8H166	AT5G60360
Q84VX3	AT5G11030
Q9LUH2	AT3G23560
Q9SJU4	AT2G21330
Q9ZU52	AT2G01140
Q9FFF5	AT5G05610
Q9SRM4	AT3G11200
Q9M2B4	AT3G42790
O81488	AT5G26210
Q5XEM9	AT5G20510
Q8S8M9	AT2G02470
Q8LA16	AT1G14510
P22197	AT4G26520
A8MR93	AT1G02145
O82244	AT2G47760
Q9FF17	AT5G38460
O80505	AT2G44660
Q9FZ49	AT1G16900
Q9LTW0	AT3G12740
Q67YS6	AT5G46150
Q9SLK2	AT1G54320
Q8L8W0	AT1G79450
Q9SA98	AT1G11780
Q84M96	AT1G60680
O22707	AT1G60690
Q93ZN2	AT1G60710
Q9ASZ9	AT1G60730
Q9SJE9	AT1G08430
Q9SJE8	AT1G08440
Q9LPQ8	AT1G18420
Q9C6L8	AT1G25480
Q93Z29	AT1G68600
Q9SHM1	AT2G17470
Q9XIN1	AT2G27240
Q9SRM9	AT3G11680
Q9LS46	AT3G18440
O23086	AT4G00910
Q3E9Z9	AT4G17585
O49696	AT4G17970
Q9LS23	AT5G46600
Q9LS22	AT5G46610
Q9ZUT3	AT2G37330
Q6A331	AT5G27610
Q6A333	AT3G05380
Q6A332	AT3G21430
Q9ZVJ2	AT2G38710
Q9FR37	AT1G08980
Q8W4I9	AT5G61960
Q9SJG8	AT2G42890
Q9LYN7	AT5G07290
Q8VWF5	AT1G29400
Q8H1H9	AT1G62810
Q9SLN5	AT2G45240
Q9FV52	AT1G13270
Q9FV51	AT3G25740
Q9FV50	AT4G37040
Q9FV49	AT2G44180
Q56Y85	AT3G59990
O80452	AT2G38280
P30184	AT2G24200
Q8RX72	AT4G30910
Q944P7	AT4G30920
Q8VYB5	AT1G48790
Q6NKP9	AT1G10600
Q5PNU3	AT4G16144
Q9ZVX2	AT2G16910
P54144	AT4G13510
Q9ZPJ8	AT1G64780
Q9SQH9	AT3G24300
Q9SVT8	AT4G28700
Q9LK16	AT3G24290
Q9M6N7	AT2G38290
Q9SCQ7	AT3G50690
Q0WV12	AT4G00730
Q9SU94	AT4G29510
O82210	AT2G19670
Q84W92	AT3G06930
A3KPF2	AT5G49020
Q8GWT4	AT4G31120
Q944R7	AT4G16570
Q0WVD6	AT3G12270
Q9MAT5	AT1G04870
Q08A71	AT3G20020
O22040	AT1G09000
Q9SI38	AT2G14210
O82390	AT2G29650
Q8GX78	AT4G00370
Q7XJR2	AT2G38060
Q66GI9	AT3G46980
Q9FKV1	AT5G44370
Q3E9A0	AT5G20380
Q38914	AT4G37750
Q9SR05	AT3G04690
Q3E8W4	AT5G28680
Q9SYT0	AT1G35720
Q9XEE2	AT5G65020
Q9SE45	AT2G38760
Q9ZVJ6	AT2G38750
Q9C9X3	AT1G68090
Q9LX08	AT5G10220
Q9LX07	AT5G10230
Q94CK4	AT5G12380
Q9LS03	AT3G25760
Q9LS02	AT3G25770
Q9LS01	AT3G25780
Q93ZC5	AT1G13280
Q39219	AT3G22370
O23913	AT3G22360
O22048	AT3G27620
O22049	AT5G64210
Q8LEE7	AT1G32350
Q56X52	AT4G22260
Q9ZVN6	AT1G05020
Q84K16	AT1G23900
Q9ZUI6	AT1G60070
Q8LEZ8	AT2G17380
O23685	AT4G35410
P35631	AT1G69120
Q8LPL6	AT5G22770
Q8LPK4	AT5G22780
Q94AN4	AT1G16060
A0JPZ8	AT1G79700
Q8GWK2	AT2G41710
Q84WL9	AT1G47830
P47927	AT4G36920
Q9M2T1	AT3G55480
Q9C744	AT1G48760
Q8VZ37	AT3G50860
P35632	AT3G54340
Q8L7A9	AT1G31730
O82201	AT2G19790
Q9LDK9	AT5G11490
Q9SUS3	AT4G11380
O81742	AT4G23460
Q9ZPW2	AT2G18290
Q9M9L0	AT3G05870
Q9FFF9	AT5G05560
Q8H1U5	AT2G04660
O65418	AT4G21530
Q8H1U4	AT1G06590
Q8VY89	AT2G39090
Q9LU14	AT3G16370
P40602	AT1G20130
Q8L9G7	AT2G31440
Q06548	AT1G07570
P46573	AT2G28930
O49839	AT1G14370
O49840	AT2G02800
Q9SAK5	AT1G79430
Q9XIR4	AT1G64810
Q8W4A5	AT5G57930
Q9FH50	AT5G61930
Q9LSZ0	AT3G21740
P92979	AT4G04610
P92981	AT1G62180
P92980	AT4G21990
Q9SA00	AT1G34780
Q93YX4	AT3G03860
Q9ZPE9	AT4G08930
Q84JN1	AT5G18120
Q9LKL2	AT5G61380
Q6LA43	AT4G18020
Q9LVG4	AT5G60100
Q9FJ16	AT5G49240
Q6LA42	AT5G24470
Q93WK5	AT5G02810
Q8L500	AT2G46790
P31166	AT1G27450
Q42563	AT1G80050
Q05431	AT1G07890
Q1PER6	AT3G09640
Q42564	AT4G35000
Q7XZP5	AT4G35970
Q8GY91	AT4G32320
Q42592	AT4G08390
Q42593	AT1G77490
Q9SA77	AT1G30620
Q9SUN3	AT4G20460
Q9FI17	AT5G44480
O23461	AT4G16130
Q6F6B5	AT1G75010
Q84N64	AT3G19720
Q9FIG9	AT5G42480
P36397	AT2G47170
P40940	AT2G24765
Q9SHU5	AT2G15310
Q9ZPX1	AT2G18390
Q8L7G0	AT1G59750
Q94JM3	AT5G62000
O23661	AT2G33860
Q9ZTX9	AT5G60450
P93024	AT1G19850
Q9ZTX8	AT1G30330
P93022	AT5G20730
Q9FGV1	AT5G37020
Q9XED8	AT4G23980
Q9SKN5	AT2G28350
Q9ZPY6	AT2G46530
Q9XID4	AT1G34310
Q9LQE8	AT1G35540
Q93YR9	AT4G30080
Q84WU6	AT1G77850
Q9C5W9	AT3G61830
Q8RYC8	AT1G19220
Q9C7I9	AT1G35240
Q9C8N9	AT1G34410
Q9C8N7	AT1G34390
Q9LP07	AT1G43950
Q93Z70	AT2G19940
Q9M8M7	AT1G80600
P46637	AT4G08900
Q9ZPF5	AT4G08870
Q9ZUR7	AT2G37500
Q9SKC4	AT2G31760
Q84RQ9	AT1G05880
Q9FFN9	AT5G63750
Q9FFP1	AT5G63730
Q84RQ8	AT5G63760
Q9C5A4	AT5G08730
Q949V6	AT4G34370
Q84RR2	AT2G16090
Q9LVX0	AT3G27710
Q8L829	AT1G05890
Q84RR0	AT2G31510
Q8W468	AT1G65430
Q9SKC3	AT2G31770
B9DHT4	AT5G19330
Q84JT7	AT2G46040
Q9LDD4	AT4G11400
Q940Y3	AT2G17410
Q6NQ79	AT3G43240
Q0WNR6	AT1G76510
C0SUW7	AT1G20910
Q9LPC6	AT1G01950
Q9FZ06	AT1G12430
P05466	AT2G45300
P57720	AT1G48850
Q9SA96	AT1G11790
Q9SSE7	AT3G07630
Q9ZUY3	AT2G27820
O22241	AT3G44720
Q9FNJ8	AT5G22630
Q9SGD6	AT1G08250
P29976	AT4G39980
Q00218	AT4G33510
Q9SJ05	AT2G21940
Q9LSD6	AT3G27000
Q9SAF1	AT1G13180
Q9C9B2	AT1G73910
Q84M92	AT1G18450
Q940Z2	AT3G12380
Q8LGE3	AT3G33520
Q8L4Y5	AT3G60830
Q9FKT0	AT5G56180
Q9LSW2	AT5G43500
P45951	AT2G41460
O49397	AT4G31920
Q9FXD6	AT1G67710
Q8L9Y3	AT2G01760
Q7G8V2	AT1G74890
Q9SHC2	AT2G40670
Q9FPR6	AT3G56380
Q9FGT7	AT5G58080
Q940D0	AT3G16857
Q9M8Y4	AT3G04280
Q9ZWJ9	AT4G16110
Q9ZWS9	AT1G59940
O82798	AT1G10470
Q9SB04	AT3G48100
Q9ZWS6	AT5G62920
Q9ZWS7	AT1G19050
O80365	AT2G41310
O80366	AT3G57040
O80931	AT2G37630
Q9SV07	AT3G51970
Q9SG80	AT3G10740
Q8VZR2	AT5G26120
Q9C9M6	AT1G66740
Q9LS09	AT5G38110
Q6R0H0	AT1G01520
Q84WW6	AT1G76710
Q945S8	AT2G44150
Q9M1X9	AT3G59960
Q7XJS0	AT2G17900
Q9ZUM9	AT2G19640
Q949T8	AT4G30860
Q9LSX8	AT3G21860
O49484	AT4G34210
O65674	AT4G34470
Q9M1X5	AT3G60010
O81057	AT2G03170
Q1PEL7	AT3G25650
O81055	AT2G03190
Q9SL65	AT2G20160
Q9SY65	AT1G10230
O81058	AT2G03160
A8MQG7	AT2G45950
Q8LF97	AT3G61415
Q9SL93	AT2G25700
Q9LNT9	AT1G20140
Q9M1X4	AT3G60020
Q1PEF6	AT3G53060
Q9LSY0	AT3G21840
Q9LSY1	AT3G21830
Q9LSX9	AT3G21850
P49078	AT3G47340
P50287	AT5G08100
Q8GXG1	AT3G16150
Q56W64	AT5G61540
O65268	AT4G00590
Q9LX20	AT5G10080
Q9S9K4	AT1G65240
Q3EBM5	AT2G35615
Q9SZX3	AT4G24830
Q9SD88	AT5G07960
Q8S924	AT1G54210
Q9LVK3	AT3G13970
P0CH01	AT2G46495
P0CH02	AT2G46494
Q9M276	AT3G61890
Q8LC03	AT1G69780
O04291	AT2G34710
Q9ZU11	AT1G52150
Q940J1	AT4G40060
Q8S9N6	AT2G01430
Q8LAT0	AT3G01220
Q9ZU70	AT2G18550
Q4PSR7	AT2G36610
Q8LFD3	AT1G26960
O23208	AT4G36740
Q9FN29	AT5G53980
Q9LVR0	AT5G66700
P0CJ65	AT1G27045
O04292	AT1G30490
Q9ZWC6	AT1G55590
Q9ZT48	AT5G05700
Q0WWQ1	AT5G61500
Q8S929	AT2G44140
Q9M1Y0	AT3G59950
Q9FFI2	AT5G17290
Q94CD5	AT5G45900
Q8LEM4	AT4G21980
Q9XEB5	AT4G04620
Q8S927	AT1G62040
Q9SL04	AT2G05630
Q8S926	AT2G45170
Q8VYK7	AT4G16520
Q9LZZ9	AT3G60640
Q8S925	AT3G06420
Q9LRP7	AT3G15580
P48731	AT4G32980
P92953	AT2G44910
P46667	AT5G65310
P46668	AT2G22430
P46897	AT2G46680
Q39123	AT4G32880
Q8GXM7	AT1G70920
Q07970	AT4G21270
P46864	AT4G27180
P46875	AT5G54670
O81635	AT5G27000
P0C034	AT1G49220
Q84W40	AT1G72200
Q9SL78	AT2G20030
Q940Q4	AT4G30400
Q9M0C3	AT4G30370
Q9SK92	AT1G22500
Q9LSW9	AT5G43420
Q9SZL4	AT4G38140
Q9C919	AT1G53010
P93823	AT1G04360
Q9C7E9	AT1G28040
Q9SKK8	AT2G25410
Q8L9W3	AT5G42200
Q6NKR1	AT2G35420
O49691	AT4G17920
Q8L9T5	AT3G16720
Q9FIR0	AT5G46650
Q8LGA5	AT5G27420
Q8W571	AT4G40070
O80927	AT2G37580
Q9C7I1	AT1G35330
Q9M0R6	AT4G09110
Q9M0R5	AT4G09120
Q9M0R4	AT4G09130
O64762	AT2G34990
Q9M0R7	AT4G09100
Q9XF63	AT1G72310
Q9SLC4	AT2G42350
Q9SLC3	AT2G42360
Q5XF85	AT4G28890
Q5EAE9	AT5G05810
O22755	AT2G17450
Q9ZT49	AT4G35480
Q9FL07	AT5G40250
Q8GW38	AT1G23980
Q7X843	AT3G48030
Q9ZV53	AT2G18650
Q9LY41	AT3G60220
Q9FHG8	AT5G57750
Q9SRQ8	AT3G03550
Q9LF64	AT5G17600
P0C041	AT4G17905
Q8LFY8	AT1G72220
Q9LX93	AT5G10380
Q9ZV51	AT2G18670
Q9SJJ7	AT2G27940
Q570X5	AT1G33480
Q9SN27	AT4G10160
Q9LZJ6	AT3G62690
P0C035	AT1G53820
Q9LUL6	AT3G14320
Q9LJL6	AT3G19140
Q9LUZ9	AT5G58580
O22255	AT2G47560
Q67YI6	AT3G18930
Q9SRM0	AT3G11110
O82353	AT2G46160
Q9M313	AT3G61550
Q9FL42	AT5G07040
Q8RXX9	AT3G05200
Q8RX29	AT2G35910
Q9FG21	AT5G06490
Q9SG96	AT3G10910
Q9FLC6	AT5G05280
Q9LZV8	AT5G01880
Q94BY6	AT1G49200
Q6NML0	AT1G49210
Q9LS99	AT3G18773
Q6NQG7	AT1G49230
Q9FGJ6	AT5G47610
Q9SN28	AT4G10150
Q9LM69	AT1G20823
Q9LQM2	AT1G32361
Q8LC69	AT1G76410
O64763	AT2G35000
Q8RWU4	AT4G21750
Q96252	AT5G47030
Q96253	AT1G51650
Q9FT52	AT3G52300
Q9SJ12	AT2G21870
P56757	ATCG00120
P83484	AT5G08690
Q9C5A9	AT5G08680
P19366	ATCG00480
P09468	ATCG00470
P56759	ATCG00130
Q01908	AT4G04640
Q01909	AT1G15700
Q96250	AT2G33040
P56760	ATCG00140
P56758	ATCG00150
Q96251	AT5G13450
Q9SB48	AT4G24520
Q9FIP9	AT5G46760
Q6NPS8	AT3G02280
Q9FKS4	AT5G40820
Q9C5X4	AT2G31650
P0CB22	AT1G05830
Q9M391	AT3G54130
Q9M364	AT3G61740
Q9SUE7	AT4G27910
Q8GZ42	AT5G53430
Q5PP37	AT3G21820
O23372	AT4G15180
Q9FG08	AT5G06620
Q8VZJ1	AT5G09790
Q9FNE9	AT5G24330
Q9LT02	AT5G23630
Q9M077	AT4G32830
O64629	AT2G45490
Q96247	AT2G38120
Q9SU08	AT4G12780
Q0WQ57	AT4G12770
P31414	AT1G15690
Q56ZN6	AT1G78920
Q9FZ33	AT1G54990
Q9SRK7	AT3G10960
Q84MA8	AT5G50300
O81906	AT4G21390
Q9SAA4	AT1G11730
A8MRC7	AT1G05170
Q9ZV71	AT2G32430
Q8LEJ9	AT4G26940
Q9LM60	AT1G22015
Q9MAP8	AT1G32930
Q6NQB7	AT1G77810
Q9C809	AT1G33430
Q5XEZ1	AT2G25300
Q94A05	AT4G32120
Q94F27	AT5G53340
Q66GS2	AT2G26100
Q9LKA9	AT3G14960
Q8L7M1	AT1G53290
Q8L7F9	AT1G26810
Q9ASW1	AT3G06440
Q8GXG6	AT1G27120
Q8RX55	AT1G74800
Q9LV16	AT5G62620
A7XDQ9	AT4G21060
Q8LG89	AT2G02850
Q9S795	AT1G74920
